product_id,super_category,category,shelf
398948,Beauty & Personal Care,Baby Care,Diaper & Wipes
426674,Beauty & Personal Care,Baby Care,Diaper & Wipes
407467,Beauty & Personal Care,Baby Care,Diaper & Wipes
680598,Beauty & Personal Care,Baby Care,Diaper & Wipes
655535,Beauty & Personal Care,Baby Care,Diaper & Wipes
655536,Beauty & Personal Care,Baby Care,Diaper & Wipes
655532,Beauty & Personal Care,Baby Care,Diaper & Wipes
437171,Beauty & Personal Care,Baby Care,Diaper & Wipes
400788,Beauty & Personal Care,Baby Care,Diaper & Wipes
392415,Beauty & Personal Care,Baby Care,Diaper & Wipes
439891,Beauty & Personal Care,Baby Care,Diaper & Wipes
439890,Beauty & Personal Care,Baby Care,Diaper & Wipes
507010,Beauty & Personal Care,Baby Care,Diaper & Wipes
391766,Beauty & Personal Care,Baby Care,Diaper & Wipes
502805,Beauty & Personal Care,Baby Care,Diaper & Wipes
717755,Beauty & Personal Care,Baby Care,Diaper & Wipes
705840,Beauty & Personal Care,Baby Care,Diaper & Wipes
705845,Beauty & Personal Care,Baby Care,Diaper & Wipes
706381,Beauty & Personal Care,Baby Care,Diaper & Wipes
712688,Beauty & Personal Care,Baby Care,Diaper & Wipes
782653,Beauty & Personal Care,Baby Care,Feeding Essentials
728496,Beauty & Personal Care,Baby Care,Feeding Essentials
742341,Beauty & Personal Care,Baby Care,Feeding Essentials
742343,Beauty & Personal Care,Baby Care,Feeding Essentials
